age_of_driver,gender,marital_status,safety_rating,annual_income,high_education,address_change,property_status,accident_site,past_num_of_claims,witness_present,liab_prct,channel,police_report,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,total_claim,injury_claim,policy deductible,annual premium,days open,form defects,claim_month,claim_weekday,claim_year,zip_region,claim_to_price,injury_share,claim_to_income,premium_to_income,claim_to_deductible,fraud_reported
28.0,F,1.0,49,53307.2,1,1,Rent,Parking Lot,1,0.0,50,Phone,1,5.0,Compact,23876.17436,silver,32074.03469,3456.679158,500,1737.66,10.66792937,8,6.0,5.0,2023.0,1,1.34334898904033,0.10777188437006795,0.6016829750840097,0.03259709757720164,64.14806925170386,1
38.0,M,1.0,78,58198.4,0,0,Rent,Local,0,0.0,50,Phone,1,3.0,Large,17991.21351,gray,12246.51763,7204.667355,500,538.17,10.04835868,5,2.0,0.0,2024.0,2,0.680694363529862,0.5883033505592312,0.21042705005274326,0.009247161433832422,24.49303521101393,0
42.0,F,0.0,92,39814.4,1,1,Own,Highway,0,0.0,72,Phone,1,4.0,Compact,12006.5627,red,12427.00182,3388.568025,2000,1273.7,9.966159716,4,9.0,6.0,2023.0,5,1.0350174424995908,0.2726778408669552,0.31212329759302854,0.031990937951294235,6.213500906893249,1
23.0,M,1.0,82,20164.8,1,0,Rent,Highway,0,0.0,80,Phone,1,6.0,Compact,12224.5503,white,24375.06253,5335.459014,500,1848.81,9.411242095,4,3.0,3.0,2024.0,1,1.9939434932020406,0.21889006468042527,1.2087926747992148,0.09168501546795976,48.75012496249975,1
55.0,M,1.0,83,14104.0,0,1,Own,Parking Lot,0,0.0,69,Phone,0,4.0,Compact,12845.13183,other,30130.72245,6011.22711,500,1362.87,8.528898183,3,8.0,5.0,2024.0,8,2.345691959134553,0.19950491130027634,2.1363246205235162,0.09663003402604721,60.26144477947711,1
44.0,F,0.0,65,160546.0,1,1,Rent,Local,0,0.0,86,Phone,1,4.0,Large,76566.41329,silver,30982.76488,10852.36645,500,1239.22,8.592964817,3,9.0,6.0,2024.0,8,0.4046521646801741,0.3502710778615872,0.19298372354220605,0.0077187846473427005,61.965529636068936,0
37.0,F,0.0,68,7786.0,0,1,Rent,Highway,0,0.0,51,Phone,1,5.0,Large,34708.88292,black,23599.39624,5904.032433,500,1105.49,8.546369217,9,5.0,6.0,2024.0,8,0.6799238193206616,0.25017726609220337,3.0310038835048796,0.14198433083200818,47.19879238560241,1
40.0,F,1.0,77,99026.0,1,1,Own,Parking Lot,0,0.0,50,Phone,1,5.0,Medium,19450.25858,silver,12600.65557,5891.41743,1000,1425.54,9.551207744,2,8.0,6.0,2023.0,5,0.6478400026161585,0.4675484856168044,0.1272459310673233,0.014395613273136394,12.600655557399346,0
35.0,F,1.0,63,56881.6,1,1,Own,Highway,0,0.0,93,Phone,1,3.0,Medium,22227.21526,black,18229.27521,5429.714276,1000,1038.09,9.545037903,3,9.0,2.0,2023.0,8,0.8201331114107303,0.2978568381437115,0.3204775394798937,0.018250014063981145,18.229275191770725,0
54.0,F,0.0,79,63856.0,1,1,Own,Highway,0,0.0,32,Phone,1,10.0,Medium,34694.52214,blue,12470.68379,8093.500512,1000,1489.24,8.645313687,2,5.0,0.0,2024.0,8,0.35944244279597265,0.6490021435585609,0.19529384536777603,0.02332184916024615,12.470683777529315,0
27.0,M,0.0,36,32728.0,1,0,Rent,Parking Lot,2,0.0,71,Phone,1,5.0,Large,7879.238294,black,41443.38211,6794.780109,2000,769.95,9.057925582,2,12.0,5.0,2024.0,5,5.259820880947223,0.16395332047952027,1.2662974244907632,0.023525727205343263,20.72169104463915,1
42.0,F,1.0,65,179808.0,0,1,Rent,Parking Lot,3,0.0,93,Phone,1,6.0,Large,34221.32516,silver,21670.54025,4019.553749,2000,1514.72,10.20500492,5,10.0,3.0,2023.0,8,0.63324667142629,0.18548470423179764,0.12052044541888836,0.008424096814332932,10.835270119582363,0
62.0,M,0.0,90,66056.0,1,1,Own,Local,0,0.0,76,Phone,1,4.0,Large,16521.38304,white,24548.54157,5001.112247,500,1612.43,9.534852522,2,12.0,6.0,2024.0,5,1.4858648037564133,0.2037233956459547,0.37163227518512126,0.024410046021187935,49.09708304180584,0
34.0,M,1.0,82,16429.0,0,1,Own,Parking Lot,0,1.0,0,Phone,1,5.0,Large,20504.51437,black,44689.78043,3431.849274,2000,1136.83,8.164786494,4,3.0,0.0,2023.0,2,2.1795093325012256,0.07679270833068194,2.720176543141994,0.06919654269467426,22.344890203827553,1
31.0,F,0.0,94,84939.2,1,1,Own,Local,1,0.0,94,Phone,1,4.0,Medium,21003.68362,gray,22015.10594,5270.906542,2000,1322.78,8.63599319,3,3.0,3.0,2023.0,8,1.048154520761718,0.23942226560825614,0.25918664102959316,0.015573257106076191,11.007552964496224,0
44.0,M,0.0,73,60563.2,1,1,Own,Parking Lot,1,1.0,81,Phone,1,1.0,Medium,15002.20433,gray,15462.54245,3812.903368,1000,1483.25,8.539403447,2,12.0,5.0,2023.0,5,1.030684698651169,0.24658967825523478,0.25531250742603906,0.024490944995896997,15.462542434537458,0
47.0,F,1.0,44,61587.2,1,0,Rent,Highway,0,0.0,57,Phone,0,4.0,Large,14516.1342,white,12701.78418,4627.458464,500,1463.82,7.48828902,7,7.0,1.0,2024.0,5,0.8750114875022985,0.3643156266914058,0.20624065032658995,0.02376825054518198,25.403568309192863,0
62.0,F,0.0,75,66012.8,0,1,Own,Local,0,0.0,28,Phone,1,4.0,Compact,18719.35593,gray,34051.34729,3011.284525,500,1497.35,9.101195924,5,3.0,2.0,2023.0,2,1.8190448119857374,0.08843363815433826,0.5158294647323575,0.02268272213839312,68.1026944437946,0
32.0,F,0.0,93,55452.8,1,0,Own,Highway,0,0.0,100,Phone,0,8.0,Large,15699.24609,other,9448.857968,4130.137132,500,1495.1,7.8403765,3,1.0,0.0,2023.0,8,0.6018669885948729,0.4371043723538056,0.17039460528286407,0.026961668301204594,18.89771589820457,0
46.0,M,0.0,45,11246.0,0,1,Own,Local,1,1.0,34,Phone,1,2.0,Large,25602.20531,other,30860.11818,4499.059204,2000,1338.5,9.64053346,3,9.0,4.0,2023.0,1,1.2053695298951819,0.14578878725001082,2.7440972947942295,0.11902009602356214,15.43005908228497,1
57.0,M,1.0,65,14693.0,1,0,Rent,Parking Lot,1,0.0,64,Phone,1,1.0,Medium,9732.691388,gray,26752.07125,5461.151361,1000,1074.07,9.812436192,3,8.0,4.0,2024.0,8,2.74868175520653,0.20413938456432082,1.8207358094452641,0.07310079629258144,26.75207122324793,1
56.0,M,1.0,83,44387.0,1,1,Rent,Local,0,1.0,27,Phone,0,3.0,Medium,10883.7118,red,11807.93998,4511.907191,2000,1103.58,10.5576621,6,10.0,3.0,2023.0,2,1.0849184722913263,0.382107903517468,0.2660224836040727,0.024862685019828717,5.903969987048014,1
51.0,M,1.0,65,62905.6,0,1,Rent,Highway,0,1.0,27,Phone,0,4.0,Medium,8691.36746,black,20342.4402,5009.360744,500,964.79,8.069645493,6,7.0,0.0,2023.0,2,2.3405339023209897,0.2462517128969487,0.3233804335333678,0.015337108301719766,40.68488031863024,0
45.0,F,0.0,57,60889.6,0,1,Own,Local,1,0.0,50,Phone,1,3.0,Medium,41194.09871,white,16502.57797,2314.389231,1000,1439.34,8.668064407,5,12.0,6.0,2023.0,8,0.40060538976164906,0.14024410216798122,0.27102457512824807,0.02363851954974842,16.502577953497422,0
28.0,M,1.0,83,53315.2,0,1,Rent,Parking Lot,0,1.0,97,Phone,1,3.0,Medium,11213.12223,red,26346.03809,4432.226653,1000,1198.15,8.929089579,2,9.0,5.0,2024.0,2,2.3495720056598746,0.16823123984300628,0.49415622729551506,0.022472953303701894,26.34603806365396,0
55.0,F,1.0,93,64113.6,1,1,Own,Local,3,0.0,51,Phone,1,3.0,Compact,32829.02668,blue,5747.298004,1882.484537,500,1398.51,8.835088933,6,10.0,3.0,2024.0,8,0.17506757236047707,0.327542531353392,0.08964241602265913,0.021813000673463773,11.49459598501081,1
51.0,F,1.0,87,162891.2,1,0,Rent,Highway,2,0.0,99,Phone,1,4.0,Compact,31615.03599,other,28699.249,7990.167818,500,1355.08,8.550854393,4,10.0,0.0,2024.0,8,0.9077721438675556,0.2784103450833013,0.17618661413154185,0.008318926989252217,57.39849788520301,0
41.0,F,0.0,66,29408.0,1,0,Rent,Parking Lot,0,0.0,99,Phone,1,7.0,Medium,13942.05244,gray,41405.79596,3996.453104,500,1158.03,9.701092284,5,2.0,4.0,2023.0,2,2.969849391631621,0.09651917107847045,1.4079772836844404,0.039378060390391115,82.81159175437682,1
50.0,M,1.0,68,62593.6,1,1,Own,Parking Lot,0,1.0,3,Phone,1,7.0,Compact,17149.64126,red,11575.14651,3043.078453,1000,1372.27,8.95681254,4,6.0,6.0,2024.0,1,0.6749497749741881,0.2628976186269544,0.18492539987818363,0.021923487384941535,11.575146498424854,0
47.0,F,1.0,79,61592.0,1,1,Own,Parking Lot,0,0.0,1,Phone,1,4.0,Medium,28423.24271,gray,42880.44492,6387.075386,1000,1275.39,10.38860723,8,7.0,0.0,2024.0,8,1.508640142013246,0.14895077226383988,0.6962015346035816,0.020707072346721863,42.88044487711956,1
49.0,F,0.0,79,82292.8,0,1,Own,Local,1,1.0,24,Phone,1,7.0,Compact,11488.23238,silver,19754.24336,6706.715266,500,1344.36,7.47937187,3,10.0,2.0,2024.0,8,1.7195198273209442,0.3395075753314245,0.24004825889701106,0.01633630159605292,39.50848664098303,0
33.0,F,1.0,64,95934.4,1,0,Rent,Highway,0,0.0,3,Phone,0,2.0,Medium,12267.68033,gray,13732.00306,1971.468572,500,1203.24,7.617566343,3,2.0,0.0,2024.0,2,1.1193642717686167,0.14356744338334226,0.14313951053904397,0.012542320585602848,27.464006065071985,0
44.0,M,1.0,89,80561.6,1,1,Own,Highway,0,0.0,21,Phone,1,3.0,Medium,49584.22238,gray,47665.79269,7193.215579,1000,1152.4,6.924367299,3,11.0,2.0,2024.0,2,0.9613096747538161,0.1509093874852979,0.5916688929888226,0.014304581835337128,47.66579264233421,0
33.0,F,1.0,57,75953.6,1,1,Rent,Parking Lot,0,0.0,96,Phone,1,8.0,Large,31494.75576,other,9692.92145,7457.212527,2000,1142.62,7.019133346,2,3.0,5.0,2023.0,2,0.30776302961532276,0.7693462249434254,0.12761635327189735,0.015043658233249725,4.8464607225767695,0
52.0,F,1.0,70,82292.8,1,1,Rent,Parking Lot,0,0.0,14,Phone,1,8.0,Compact,28494.95994,gray,34879.35173,6669.939824,500,1229.16,10.04717681,0,9.0,1.0,2023.0,5,1.2240533695158424,0.19122889311248017,0.42384451288054553,0.01493642214124521,69.7587033204826,0
41.0,M,1.0,64,80561.6,1,0,Rent,Local,2,0.0,20,Phone,1,3.0,Large,24455.90722,red,32964.01489,7713.185245,500,1706.79,10.26960072,8,6.0,3.0,2023.0,2,1.347895810697801,0.2339880403071257,0.40917775825692165,0.021186148239096713,65.92802964814393,0
58.0,M,1.0,86,82292.8,0,1,Own,Local,1,0.0,93,Phone,0,4.0,Large,14203.39611,silver,34878.65574,3798.774361,500,885.08,8.619270212,2,8.0,2.0,2024.0,2,2.4556560605239888,0.10891401289111396,0.4238360553970234,0.01075525440851745,69.75731134048539,0
37.0,F,1.0,72,72593.6,1,1,Rent,Local,2,0.0,99,Phone,1,4.0,Large,9367.193013,black,8871.641743,8015.944434,500,1046.58,8.276694232,3,5.0,0.0,2024.0,1,0.947097143161312,0.9035469043169243,0.12220969538468668,0.014416973396905277,17.743283450513434,0
63.0,F,0.0,89,66300.8,1,0,Own,Local,2,1.0,44,Phone,0,8.0,Medium,17901.32007,black,52692.08773,7462.860816,500,1382.88,8.167530488,3,3.0,6.0,2024.0,8,2.9434749795553214,0.14163152642762764,0.7947428647799915,0.02085766687549988,105.38417524923165,1
35.0,F,1.0,68,56873.6,1,1,Own,Local,0,1.0,83,Phone,0,7.0,Large,31524.63393,white,10721.7675,2018.040967,1000,1141.35,9.368615794,2,12.0,0.0,2024.0,5,0.3401075972354643,0.18821905686835502,0.18851923387672806,0.020068186293463606,10.721767489278232,0
42.0,M,0.0,68,93347.2,1,0,Own,Highway,0,1.0,2,Phone,1,3.0,Large,11534.5613,gray,30124.33636,2245.716441,1000,986.53,8.042216093,3,3.0,6.0,2024.0,8,2.611658612225533,0.07454824611198345,0.32271280080899367,0.010568394124188318,30.124336329875664,0
48.0,M,1.0,94,80561.6,0,1,Rent,Parking Lot,3,0.0,0,Phone,1,6.0,Compact,25215.6433,white,17997.97862,4501.841953,500,1722.95,8.096150872,2,5.0,6.0,2024.0,8,0.7137624214126728,0.250130420076578,0.2234064196810465,0.021386740084340595,35.99595716800809,0
53.0,M,1.0,75,63524.8,1,0,Own,Local,0,0.0,0,Phone,0,2.0,Large,15287.00801,other,15750.40069,3729.623072,2000,1281.07,9.306265973,4,2.0,4.0,2024.0,5,1.0303128433416506,0.23679544064749786,0.24794097249817487,0.02016645467565161,7.875200341062399,0
38.0,F,1.0,72,58209.6,1,0,Rent,Parking Lot,0,0.0,56,Phone,1,6.0,Large,13844.87602,gray,33318.56541,2361.170033,500,1011.92,8.195952079,6,5.0,1.0,2023.0,1,2.4065629305356135,0.0708664975179414,0.5723895269754063,0.0173840741043164,66.63713068672574,0
46.0,F,1.0,74,61276.8,1,0,Own,Parking Lot,1,0.0,9,Phone,1,4.0,Compact,37107.88786,gray,16664.41035,5422.67774,500,1301.72,9.88013309,2,2.0,2.0,2023.0,8,0.4490800018697404,0.3254047173457053,0.27195301239177055,0.021243276410954172,33.32882063334235,0
35.0,F,0.0,87,86892.8,1,1,Own,Parking Lot,0,0.0,92,Phone,0,1.0,Large,19600.90487,gray,18686.10785,5627.615502,500,767.14,8.064835853,4,11.0,3.0,2023.0,2,0.9533288372643723,0.30116574017840925,0.21504782732038735,0.008828579583016907,37.37221562525557,0
23.0,F,0.0,63,70152.0,1,1,Rent,Local,0,0.0,73,Phone,0,4.0,Large,25707.24161,silver,16029.7098,5984.304844,1000,1538.26,9.369675313,5,12.0,2.0,2024.0,1,0.6235484165341554,0.37332583797784497,0.22849968354104663,0.021927528794304832,16.02970978397029,0
51.0,M,0.0,80,62929.6,1,0,Own,Local,0,1.0,2,Phone,1,8.0,Compact,14774.95313,red,16085.05867,2930.331295,500,1314.6,8.402431024,3,3.0,2.0,2024.0,1,1.0886707069311243,0.18217722141624135,0.25560401893138357,0.020890010424015247,32.17011727565976,1
52.0,F,0.0,68,63228.8,1,1,Own,Highway,0,1.0,0,Phone,1,6.0,Medium,30100.26728,red,20823.61491,5670.095421,1000,1515.18,10.75748484,4,10.0,3.0,2024.0,8,0.69180830574034,0.27229159995677754,0.32933749983663557,0.023963447036414363,20.823614889176387,0
27.0,M,0.0,87,82292.8,1,1,Rent,Highway,0,0.0,57,Phone,1,2.0,Medium,25604.80108,black,26180.26783,4214.161394,1000,2047.59,9.784155061,4,12.0,3.0,2024.0,8,1.0224749548797325,0.1609670848748927,0.3181355820883706,0.024881763653383022,26.18026780381973,0
80.0,M,1.0,49,72593.6,0,0,Own,Local,1,0.0,52,Phone,1,6.0,Compact,12946.99314,white,19294.14962,7547.316852,1000,1083.72,7.054656296,0,2.0,6.0,2023.0,5,1.4902417426097252,0.39117126176866607,0.2657830665476601,0.014928588745909714,19.29414960070585,0
43.0,M,0.0,32,20169.6,1,1,Own,Local,0,0.0,6,Phone,0,6.0,Large,11544.57147,blue,28746.61543,3630.172038,2000,1371.78,9.188036472,6,9.0,4.0,2023.0,5,2.4900547848148014,0.1262817199024156,1.4252446964032384,0.06801225606516678,14.373307707813346,1
65.0,M,1.0,73,26795.2,0,1,Own,Local,0,1.0,22,Phone,0,6.0,Compact,34869.33691,black,21577.29777,7656.655706,2000,932.14,8.850708118,3,2.0,4.0,2023.0,2,0.618804361696742,0.3548477565291139,0.8052672780645315,0.03478757389253345,10.788648879605676,1
39.0,M,0.0,73,58630.4,1,0,Own,Parking Lot,0,0.0,96,Phone,1,7.0,Compact,16738.04241,silver,27218.24311,2248.581941,1000,773.99,9.915172704,2,2.0,5.0,2024.0,1,1.6261306096412185,0.0826130449283575,0.464234306938649,0.013201172087974819,27.218243082781758,0
42.0,M,1.0,57,59760.0,1,1,Own,Highway,0,1.0,100,Phone,0,5.0,Compact,31016.35773,white,17797.18499,3165.039852,500,1459.97,8.424434192,3,11.0,5.0,2024.0,5,0.5737999653070871,0.17783935232457007,0.29781099380358417,0.024430555555146744,35.59436990881127,1
53.0,F,0.0,78,163536.0,1,0,Own,Parking Lot,0,0.0,68,Phone,0,7.0,Medium,25747.59643,silver,28683.68958,3435.867014,500,865.33,7.876778029,9,8.0,1.0,2024.0,0,1.114033679099652,0.11978469521145248,0.1753967907972838,0.005291373153279453,57.36737904526524,0
55.0,M,0.0,86,34105.6,1,0,Own,Highway,0,1.0,69,Phone,0,2.0,Compact,10736.03065,blue,48844.29531,4683.967849,2000,1134.08,10.47431442,6,6.0,0.0,2024.0,1,4.549567423734063,0.09589590389576456,1.4321488350466742,0.03325201726305205,24.422147642788925,1
49.0,F,1.0,62,62257.6,1,1,Own,Highway,0,0.0,14,Phone,0,6.0,Large,65059.67998,white,22881.72598,5041.963304,2000,1304.67,8.949300458,2,5.0,4.0,2024.0,1,0.35170363559553885,0.220348906729616,0.36753305587803686,0.02095599573351758,11.440862984279567,0
27.0,F,1.0,69,52723.2,1,0,Own,Local,3,0.0,86,Phone,1,7.0,Compact,10073.11234,blue,19897.24191,4045.376399,2000,1035.79,8.579935193,6,3.0,6.0,2024.0,8,1.975282438677212,0.20331342490054125,0.37739063466600303,0.019645810572581978,9.94862095002569,0
53.0,M,1.0,92,43515.2,1,0,Own,Highway,0,1.0,76,Phone,1,3.0,Large,14621.55121,white,23206.44925,2961.131957,2000,694.45,10.53081735,5,7.0,0.0,2023.0,8,1.5871400315269875,0.1275995273974281,0.5332952450974995,0.015958791410450632,11.603224619198388,1
38.0,F,1.0,70,58177.6,1,1,Own,Local,0,0.0,97,Phone,0,5.0,Compact,9610.594669,blue,51668.90094,6294.042374,1000,1004.63,8.845165216,5,1.0,2.0,2023.0,1,5.376243896882605,0.12181490721443987,0.8881236238537148,0.017268330078633903,51.6689008883311,0
68.0,F,1.0,66,37552.0,0,1,Rent,Local,1,1.0,97,Phone,1,7.0,Medium,26014.27743,white,19733.7098,2439.667767,1000,1194.0,9.180571971,1,9.0,5.0,2024.0,1,0.7585722821762584,0.12362945394465923,0.5255035630452305,0.03179590967107489,19.73370978026629,1
23.0,F,0.0,80,150181.0,1,0,Rent,Local,0,0.0,99,Phone,1,3.0,Compact,50337.8293,gray,32663.07309,1625.777507,1000,1248.25,8.577774108,1,11.0,2.0,2024.0,1,0.6488772667309102,0.049774174722340116,0.2174913809988115,0.008311637290946847,32.66307305733693,0
43.0,F,1.0,88,160162.0,1,0,Own,Local,0,0.0,84,Phone,1,5.0,Compact,37125.67225,gray,33959.29759,1694.017873,500,1338.54,9.532174967,5,12.0,0.0,2024.0,8,0.9147119912174866,0.049883772432588645,0.2120309286209461,0.008357413119164612,67.91859504416281,0
42.0,F,1.0,44,79776.0,1,1,Rent,Local,0,0.0,0,Phone,1,9.0,Compact,63361.03214,silver,31320.12327,4933.853885,1000,1275.81,8.8681209,1,12.0,1.0,2024.0,1,0.49431207497223206,0.1575298360836391,0.39260082317498246,0.01599240373024478,31.320123238679876,0
52.0,F,1.0,76,63216.0,1,0,Own,Local,1,1.0,41,Phone,0,2.0,Compact,13881.85867,gray,52882.29067,3643.979917,2000,972.47,7.161016793,3,7.0,4.0,2023.0,8,3.809453180824708,0.06890737656714847,0.836533324936147,0.015383289040505833,26.441145321779427,0
37.0,F,1.0,78,87776.0,1,1,Own,Local,0,0.0,43,Phone,1,4.0,Medium,38455.01501,gray,29864.72945,3659.682727,500,806.31,8.176495295,7,4.0,0.0,2023.0,8,0.7766146870949663,0.12254196821051255,0.3402379858920407,0.009185996171969718,59.72945878054108,0
52.0,F,1.0,69,160162.0,0,0,Own,Parking Lot,5,0.0,76,Phone,1,4.0,Medium,17243.70739,white,45190.14619,3760.108962,500,947.75,8.786623863,3,2.0,5.0,2023.0,8,2.6206746127915665,0.08320639074960234,0.2821527340425185,0.005917446085801142,90.38029219923942,0
48.0,F,1.0,80,95941.0,0,0,Own,Parking Lot,1,0.0,86,Phone,0,6.0,Compact,12917.2572,blue,13553.05598,5708.055749,2000,1018.73,8.689523936,6,4.0,2.0,2024.0,5,1.049220880958442,0.4211637402665577,0.14126448525509153,0.010618296661379199,6.776527986611735,0
32.0,F,1.0,84,55462.4,0,1,Rent,Local,0,0.0,90,Phone,1,4.0,Large,17289.21237,silver,17203.24516,5771.836303,500,915.29,9.921034324,9,7.0,5.0,2023.0,5,0.9950276965106751,0.3355085769564474,0.31017852021711684,0.01650289204909086,34.406490251187016,1
45.0,F,0.0,41,87776.0,1,1,Own,Local,0,0.0,74,Phone,0,4.0,Large,24722.50125,gray,50905.8586,4486.818427,1000,1086.48,10.7964143,6,6.0,5.0,2024.0,8,2.0590901415341585,0.08813952952189005,0.5799519071206258,0.01237787094408064,50.90585854909414,0
41.0,M,1.0,91,19408.0,1,0,Own,Local,0,0.0,76,Phone,0,6.0,Medium,25179.98403,red,10762.97406,4584.123661,2000,765.64,8.893795219,3,12.0,5.0,2023.0,1,0.4274416555129387,0.42591607440649015,0.5545637911915414,0.039449711457159434,5.381487027309256,1
23.0,F,1.0,64,150181.0,1,0,Own,Highway,0,0.0,36,Phone,1,3.0,Compact,23685.50367,gray,6219.439115,4753.01309,2000,1327.41,9.221183782,3,9.0,6.0,2023.0,8,0.26258420346006583,0.7642189273583364,0.04141295579972558,0.008838734593531548,3.1097195559451403,0
32.0,F,1.0,63,55449.6,1,0,Rent,Highway,0,0.0,32,Phone,0,3.0,Large,23000.62238,silver,7117.604451,3856.532491,500,903.32,10.02134434,4,1.0,5.0,2024.0,2,0.30945268928373004,0.541830122340718,0.1283616915337827,0.01629082987043566,14.235208873529583,0
37.0,M,1.0,69,57795.2,0,0,Own,Local,0,0.0,58,Phone,0,3.0,Large,34134.5335,silver,17069.92277,8553.746771,500,889.13,8.558991673,3,6.0,4.0,2024.0,2,0.5000778103353873,0.5011004962208683,0.2953519110532475,0.01538414954848527,34.139845471720314,0
51.0,M,0.0,73,150181.0,1,0,Rent,Parking Lot,0,0.0,32,Phone,1,5.0,Medium,8302.884838,blue,12833.60782,4101.351151,2000,995.56,10.25876605,1,6.0,4.0,2023.0,5,1.5456805759509582,0.3195789686115265,0.0854542706461839,0.006629067591728453,6.416803906791597,0
43.0,M,0.0,65,60187.2,0,0,Rent,Parking Lot,0,0.0,51,Phone,0,2.0,Large,4842.456173,silver,9882.544104,5750.977419,500,1379.93,7.536783984,5,10.0,2.0,2024.0,2,2.0408122962601336,0.5819328867037724,0.16419677446094524,0.02292730015646305,19.765088168469823,1
30.0,F,1.0,89,54400.0,1,0,Rent,Local,0,0.0,3,Phone,1,3.0,Large,20147.88261,silver,22833.77586,2272.118067,1000,1554.64,8.986190339,4,6.0,5.0,2024.0,2,1.1333089586065785,0.09950689193199835,0.41973852683051954,0.02857794117594526,22.833775837166225,1
54.0,F,1.0,30,163820.8,1,0,Rent,Local,1,0.0,24,Phone,1,4.0,Compact,22710.86772,red,18852.53509,3121.382598,1000,1377.94,9.434962585,3,10.0,2.0,2023.0,5,0.830110734719646,0.1655683218693551,0.11508022845624562,0.00841126401526295,18.852535071147468,0
48.0,M,1.0,52,150181.0,0,1,Rent,Local,0,0.0,17,Phone,0,6.0,Medium,15995.36838,other,19570.05302,6269.606997,500,1259.02,9.221813141,6,9.0,2.0,2024.0,2,1.2234824827945923,0.32036739963209526,0.13030977966500215,0.008383350756697695,39.14010596171979,0
46.0,M,0.0,83,95941.0,1,0,Rent,Local,0,0.0,0,Phone,1,4.0,Large,57172.22455,other,54261.1606,4580.849745,500,1399.27,8.470496578,2,8.0,5.0,2024.0,5,0.9490825488449692,0.08442225883601129,0.5655680115845617,0.014584692675554928,108.52232098295536,0
